"3","David","Feezor","USA","40"
"1","AED","ZWD","2018-01-31","1"
"2","AFN","ZMW","2018-01-31","2"
"3","ALL","ZAR","2018-01-31","3"
"4","AMD","YER","2018-01-31","4"
"5","ANG","XPF","2018-01-31","5"
"6","AOA","XOF","2018-01-31","6"
"7","ARS","XDR","2018-01-31","7"
"8","AUD","XCD","2018-01-31","8"
"9","AWG","XAF","2018-01-31","9"
"10","AZN","WST","2018-01-31","10"
"11","BAM","VUV","2018-01-31","11"
"12","BBD","VND","2018-01-31","12"
"13","BDT","VEF","2018-01-31","13"
"14","BGN","UZS","2018-01-31","14"
"15","BHD","UYU","2018-01-31","15"
"16","BIF","USD","2018-01-31","16"
"17","BMD","UGX","2018-01-31","17"
"18","BND","UAH","2018-01-31","18"
"19","BOB","TZS","2018-01-31","19"
"20","BRL","TWD","2018-01-31","20"
"21","BSD","TVD","2018-01-31","21"
"22","BTN","TTD","2018-01-31","22"
"23","BWP","TRY","2018-01-31","23"
"24","BYR","TOP","2018-01-31","24"
"25","BZD","TND","2018-01-31","25"
"26","CAD","TMT","2018-01-31","26"
"27","CDF","TJS","2018-01-31","27"
"28","CHF","THB","2018-01-31","28"
"29","CLP","SZL","2018-01-31","29"
"30","CNY","SYP","2018-01-31","30"
"31","COP","SVC","2018-01-31","31"
"32","CRC","STD","2018-01-31","32"
"33","CUC","SRD","2018-01-31","33"
"34","CUP","SPL","2018-01-31","34"
"35","CVE","SOS","2018-01-31","35"
"36","CZK","SLL","2018-01-31","36"
"37","DJF","SHP","2018-01-31","37"
"38","DKK","SGD","2018-01-31","38"
"39","DOP","SEK","2018-01-31","39"
"40","DZD","SDG","2018-01-31","40"
"41","EGP","SCR","2018-01-31","41"
"42","ERN","SBD","2018-01-31","42"
"43","ETB","SAR","2018-01-31","43"
"44","EUR","RWF","2018-01-31","44"
"45","FJD","RUB","2018-01-31","45"
"46","FKP","RSD","2018-01-31","46"
"47","GBP","RON","2018-01-31","47"
"48","GEL","QAR","2018-01-31","48"
"49","GGP","PYG","2018-01-31","49"
"50","GHS","PLN","2018-01-31","50"
"51","GIP","PKR","2018-01-31","51"
"52","GMD","PHP","2018-01-31","52"
"53","GNF","PGK","2018-01-31","53"
"54","GTQ","PEN","2018-01-31","54"
"55","GYD","PAB","2018-01-31","55"
"56","HKD","OMR","2018-01-31","56"
"57","HNL","NZD","2018-01-31","57"
"58","HRK","NPR","2018-01-31","58"
"59","HTG","NOK","2018-01-31","59"
"60","HUF","NIO","2018-01-31","60"
"61","IDR","NGN","2018-01-31","61"
"62","ILS","NAD","2018-01-31","62"
"63","IMP","MZN","2018-01-31","63"
"64","INR","MYR","2018-01-31","64"
"65","IQD","MXN","2018-01-31","65"
"66","IRR","MWK","2018-01-31","66"
"67","ISK","MVR","2018-01-31","67"
"68","JEP","MUR","2018-01-31","68"
"69","JMD","MRO","2018-01-31","69"
"70","JOD","MOP","2018-01-31","70"
"71","JPY","MNT","2018-01-31","71"
"72","KES","MMK","2018-01-31","72"
"73","KGS","MKD","2018-01-31","73"
"74","KHR","MGA","2018-01-31","74"
"75","KMF","MDL","2018-01-31","75"
"76","KPW","MAD","2018-01-31","76"
"77","KRW","LYD","2018-01-31","77"
"78","KWD","LSL","2018-01-31","78"
"79","KYD","LRD","2018-01-31","79"
"80","KZT","LKR","2018-01-31","80"
"81","LAK","LBP","2018-01-31","81"
"82","LBP","LAK","2018-01-31","82"
"83","LKR","KZT","2018-01-31","83"
"84","LRD","KYD","2018-01-31","84"
"85","LSL","KWD","2018-01-31","85"
"86","LYD","KRW","2018-01-31","86"
"87","MAD","KPW","2018-01-31","87"
"88","MDL","KMF","2018-01-31","88"
"89","MGA","KHR","2018-01-31","89"
"90","MKD","KGS","2018-01-31","90"
"91","MMK","KES","2018-01-31","91"
"92","MNT","JPY","2018-01-31","92"
"93","MOP","JOD","2018-01-31","93"
"94","MRO","JMD","2018-01-31","94"
"95","MUR","JEP","2018-01-31","95"
"96","MVR","ISK","2018-01-31","96"
"97","MWK","IRR","2018-01-31","97"
"98","MXN","IQD","2018-01-31","98"
"99","MYR","INR","2018-01-31","99"
"100","MZN","IMP","2018-01-31","100"
"101","NAD","ILS","2018-01-31","101"
"102","NGN","IDR","2018-01-31","102"
"103","NIO","HUF","2018-01-31","103"
"104","NOK","HTG","2018-01-31","104"
"105","NPR","HRK","2018-01-31","105"
"106","NZD","HNL","2018-01-31","106"
"107","OMR","HKD","2018-01-31","107"
"108","PAB","GYD","2018-01-31","108"
"109","PEN","GTQ","2018-01-31","109"
"110","PGK","GNF","2018-01-31","110"
"111","PHP","GMD","2018-01-31","111"
"112","PKR","GIP","2018-01-31","112"
"113","PLN","GHS","2018-01-31","113"
"114","PYG","GGP","2018-01-31","114"
"115","QAR","GEL","2018-01-31","115"
"116","RON","GBP","2018-01-31","116"
"117","RSD","FKP","2018-01-31","117"
"118","RUB","FJD","2018-01-31","118"
"119","RWF","EUR","2018-01-31","119"
"120","SAR","ETB","2018-01-31","120"
"121","SBD","ERN","2018-01-31","121"
"122","SCR","EGP","2018-01-31","122"
"123","SDG","DZD","2018-01-31","123"
"124","SEK","DOP","2018-01-31","124"
"125","SGD","DKK","2018-01-31","125"
"126","SHP","DJF","2018-01-31","126"
"127","SLL","CZK","2018-01-31","127"
"128","SOS","CVE","2018-01-31","128"
"129","SPL","CUP","2018-01-31","129"
"130","SRD","CUC","2018-01-31","130"
"131","STD","CRC","2018-01-31","131"
"132","SVC","COP","2018-01-31","132"
"133","SYP","CNY","2018-01-31","133"
"134","SZL","CLP","2018-01-31","134"
"135","THB","CHF","2018-01-31","135"
"136","TJS","CDF","2018-01-31","136"
"137","TMT","CAD","2018-01-31","137"
"138","TND","BZD","2018-01-31","138"
"139","TOP","BYR","2018-01-31","139"
"140","TRY","BWP","2018-01-31","140"
"141","TTD","BTN","2018-01-31","141"
"142","TVD","BSD","2018-01-31","142"
"143","TWD","BRL","2018-01-31","143"
"144","TZS","BOB","2018-01-31","144"
"145","UAH","BND","2018-01-31","145"
"146","UGX","BMD","2018-01-31","146"
"147","USD","BIF","2018-01-31","147"
"148","UYU","BHD","2018-01-31","148"
"149","UZS","BGN","2018-01-31","149"
"150","VEF","BDT","2018-01-31","150"
"151","VND","BBD","2018-01-31","151"
"152","VUV","BAM","2018-01-31","152"
"153","WST","AZN","2018-01-31","153"
"154","XAF","AWG","2018-01-31","154"
"155","XCD","AUD","2018-01-31","155"
"156","XDR","ARS","2018-01-31","156"
"157","XOF","AOA","2018-01-31","157"
"158","XPF","ANG","2018-01-31","158"
"159","YER","AMD","2018-01-31","159"
"160","ZAR","ALL","2018-01-31","160"
"161","ZMW","AFN","2018-01-31","161"
"162","ZWD","AED","2018-01-31","162"
"163","AFN","ZMW","2018-01-31","163"
"164","ALL","ZAR","2018-01-31","164"
"165","AMD","YER","2018-01-31","165"
"166","ANG","XPF","2018-01-31","166"
"167","AOA","XOF","2018-01-31","167"
"168","ARS","XDR","2018-01-31","168"
"169","AUD","XCD","2018-01-31","169"
"170","AWG","XAF","2018-01-31","170"
"171","AZN","WST","2018-01-31","171"
"172","BAM","VUV","2018-01-31","172"
"173","BBD","VND","2018-01-31","173"
"174","BDT","VEF","2018-01-31","174"
"175","BGN","UZS","2018-01-31","175"
"176","BHD","UYU","2018-01-31","176"
"177","BIF","USD","2018-01-31","177"
"178","BMD","UGX","2018-01-31","178"
"179","BND","UAH","2018-01-31","179"
"180","BOB","TZS","2018-01-31","180"
"181","BRL","TWD","2018-01-31","181"
"182","BSD","TVD","2018-01-31","182"
"183","BTN","TTD","2018-01-31","183"
"184","BWP","TRY","2018-01-31","184"
"185","BYR","TOP","2018-01-31","185"
"186","BZD","TND","2018-01-31","186"
"187","CAD","TMT","2018-01-31","187"
"188","CDF","TJS","2018-01-31","188"
"189","CHF","THB","2018-01-31","189"
"190","CLP","SZL","2018-01-31","190"
"191","CNY","SYP","2018-01-31","191"
"192","COP","SVC","2018-01-31","192"
"193","CRC","STD","2018-01-31","193"
"194","CUC","SRD","2018-01-31","194"
"195","CUP","SPL","2018-01-31","195"
"196","CVE","SOS","2018-01-31","196"
"197","CZK","SLL","2018-01-31","197"
"198","DJF","SHP","2018-01-31","198"
"199","DKK","SGD","2018-01-31","199"
"200","DOP","SEK","2018-01-31","200"
"201","DZD","SDG","2018-01-31","201"
"202","EGP","SCR","2018-01-31","202"
"203","ERN","SBD","2018-01-31","203"
"204","ETB","SAR","2018-01-31","204"
"205","EUR","RWF","2018-01-31","205"
"206","FJD","RUB","2018-01-31","206"
"207","FKP","RSD","2018-01-31","207"
"208","GBP","RON","2018-01-31","208"
"209","GEL","QAR","2018-01-31","209"
"210","GGP","PYG","2018-01-31","210"
"211","GHS","PLN","2018-01-31","211"
"212","GIP","PKR","2018-01-31","212"
"213","GMD","PHP","2018-01-31","213"
"214","GNF","PGK","2018-01-31","214"
"215","GTQ","PEN","2018-01-31","215"
"216","GYD","PAB","2018-01-31","216"
"217","HKD","OMR","2018-01-31","217"
"218","HNL","NZD","2018-01-31","218"
"219","HRK","NPR","2018-01-31","219"
"220","HTG","NOK","2018-01-31","220"
"221","HUF","NIO","2018-01-31","221"
"222","IDR","NGN","2018-01-31","222"
"223","ILS","NAD","2018-01-31","223"
"224","IMP","MZN","2018-01-31","224"
"225","INR","MYR","2018-01-31","225"
"226","IQD","MXN","2018-01-31","226"
"227","IRR","MWK","2018-01-31","227"
"228","ISK","MVR","2018-01-31","228"
"229","JEP","MUR","2018-01-31","229"
"230","JMD","MRO","2018-01-31","230"
"231","JOD","MOP","2018-01-31","231"
"232","JPY","MNT","2018-01-31","232"
"233","KES","MMK","2018-01-31","233"
"234","KGS","MKD","2018-01-31","234"
"235","KHR","MGA","2018-01-31","235"
"236","KMF","MDL","2018-01-31","236"
"237","KPW","MAD","2018-01-31","237"
"238","KRW","LYD","2018-01-31","238"
"239","KWD","LSL","2018-01-31","239"
"240","KYD","LRD","2018-01-31","240"
"241","KZT","LKR","2018-01-31","241"
"242","LAK","LBP","2018-01-31","242"
"243","LBP","LAK","2018-01-31","243"
"244","LKR","KZT","2018-01-31","244"
"245","LRD","KYD","2018-01-31","245"
"246","LSL","KWD","2018-01-31","246"
"247","LYD","KRW","2018-01-31","247"
"248","MAD","KPW","2018-01-31","248"
"249","MDL","KMF","2018-01-31","249"
"250","MGA","KHR","2018-01-31","250"
"251","MKD","KGS","2018-01-31","251"
"252","MMK","KES","2018-01-31","252"
"253","MNT","JPY","2018-01-31","253"
"254","MOP","JOD","2018-01-31","254"
"255","MRO","JMD","2018-01-31","255"
"256","MUR","JEP","2018-01-31","256"
"257","MVR","ISK","2018-01-31","257"
"258","MWK","IRR","2018-01-31","258"
"259","MXN","IQD","2018-01-31","259"
"260","MYR","INR","2018-01-31","260"
"261","MZN","IMP","2018-01-31","261"
"262","NAD","ILS","2018-01-31","262"
"263","NGN","IDR","2018-01-31","263"
"264","NIO","HUF","2018-01-31","264"
"265","NOK","HTG","2018-01-31","265"
